10:100125353-100134060:+	ENSBTAG00000030456	c
10:100133932-100149042:+	ENSBTAG00000030456	c
10:100144291-100149042:+	ENSBTAG00000030456	c
10:100242504-100242882:-	ENSBTAG00000018596	c
10:1002479-1006011:-	ENSBTAG00000000767	c
10:100263972-100270938:+	ENSBTAG00000030453	c
10:100267006-100270938:+	ENSBTAG00000030453	c
10:100334116-100343371:-	ENSBTAG00000009994	c
10:100342335-100343371:-	ENSBTAG00000009994	c
10:100342335-100381292:-	ENSBTAG00000009994	c
10:100348942-100361665:-	ENSBTAG00000009994	c
10:100348942-100365495:-	ENSBTAG00000009994	c
10:100361523-100384844:-	ENSBTAG00000009994	c
10:10038503-10066131:+	ENSSSCG00000010825	c
10:10038503-10073030:+	ENSSSCG00000010825	c
10:100413699-100436119:-	ENSBTAG00000009994	c
10:100529561-100543867:+	ENSBTAG00000030432	c
10:10075612-10128008:-	ENSBTAG00000002110	c
10:10075612-10133104:-	ENSBTAG00000002110	c
10:100857511-101090112:-	ENSBTAG00000046684	c
10:100961026-101090112:-	ENSBTAG00000046684	c
10:10100682-10128008:-	ENSBTAG00000002110	c
10:10100682-10133104:-	ENSBTAG00000002110	c
10:10107523-10133104:-	ENSBTAG00000002110	c
10:101089555-101090112:-	ENSBTAG00000046684	c
10:10163984-10170555:+	ENSSSCG00000010826	c
10:10169064-10170555:+	ENSSSCG00000010826	c
10:101868383-101869308:+	ENSBTAG00000005426	c
10:101894425-101907814:-	ENSBTAG00000005427	c
10:10194715-10207599:+	ENSSSCG00000010829	c
10:10201830-10207599:+	ENSSSCG00000010829	c
10:102249593-102267488:-	ENSBTAG00000006392	c
10:1024544-1031793:-	ENSBTAG00000000767	c
10:102521000-102562399:-	ENSBTAG00000010906	c
10:102521000-102588501:-	ENSBTAG00000010906	c
10:102559386-102562399:-	ENSBTAG00000010906	c
10:102559386-102609979:-	ENSBTAG00000010906	c
10:102839192-102840401:+	ENSBTAG00000012545	c
10:103020811-103023665:-	ENSBTAG00000000362	c
10:103045333-103048492:-	ENSBTAG00000000362	c
10:10348947-10357470:+	ENSBTAG00000025856	c
10:10348947-10365595:+	ENSBTAG00000025856	c
10:10356623-10357470:+	ENSBTAG00000025856	c
